YORF	NAME	G0.05	G0.1	G0.15	G0.2	G0.25	G0.3	N0.05	N0.1	N0.15	N0.2	N0.25	N0.3	P0.05	P0.1	P0.15	P0.2	P0.25	P0.3	S0.05	S0.1	S0.15	S0.2	S0.25	S0.3	L0.05	L0.1	L0.15	L0.2	L0.25	L0.3	U0.05	U0.1	U0.15	U0.2	U0.25	U0.3
YLR196W	PWP1       || rRNA processing || molecular function unknown || YLR196W || 1085536	-0.69	-0.58	-0.08	-0.09	0.09	0.32	-1.03	-1.12	-1.18	-0.84	-0.31	0.17	-0.18	-0.05	-0.12	0.02	0.36	0.58	-1.03	-0.96	-0.36	-0.28	-0.22	-0.09	-0.32	-0.38	0.01	-0.03	0.29	0.38	-1.04	-0.79	0.02	0.14	0.19	0.44
YIL085C	KTR7       || cell wall organization and biogenesis* || mannosyltransferase activity || YIL085C || 1083644	-0.49	-0.32	-0.16	-0.21	-0.16	-0.1	-0.26	-0.29	-0.09	0.03	-0.05	-0.16	0.54	0.56	0.45	0.35	0.24	0.31	-0.6	-0.25	-0.01	-0.03	0.05	-0.02	0.25	0.24	-0.07	0.06	-0.01	0.09	0.76	0.57	0.21	0.06	-0.07	-0.12
YDL224C	WHI4       || regulation of cell size || RNA binding || YDL224C || 1083534	0.01	-0.3	0.01	0.24	0.03	0	0.86	1	-0.01	0.04	-0.2	0.27	0.63	0.6	0.27	0.29	0.21	0.23	0.14	0.19	-0.09	-0.03	-0.2	0.08	-0.23	-0.26	-0.06	-0.01	0.06	-0.07	-0.61	0.26	-0.12	-0.17	0.2	0.39
YER190W	YRF1-2     || telomerase-independent telomere maintenance || DNA helicase activity || YER190W || 1083246	1.2	1	0.96	0.84	0.54	0.37	2.89	2.09	0.58	0.15	0.16	0.03	0.34	0.41	0.19	-0.31	-0.2	-0.35	0.62	0.67	0.04	0.09	0.03	0.13	1.23	0.74	0.58	0.27	0.34	0.32	1.86	0.74	0.49	0.05	0.16	0.25
YMR174C	PAI3       || vacuolar protein catabolism || endopeptidase inhibitor activity || YMR174C || 1086588	2.14	1.31	0.82	0.77	0.24	-0.11	1.62	1.05	0.78	0.52	0.1	-0.5	3.1	2.06	1.4	0.89	-0.06	-0.05	1.53	0.94	-0.29	-0.09	-0.2	-0.34	1.92	0.73	0.1	-0.05	-0.18	-0.29	3.7	1.53	0.76	0.17	0.03	-0.39
YDR397C	NCB2       || negative regulation of transcription from RNA polymerase II promoter || transcription corepressor activity || YDR397C || 1084562	0.05	0.48	0.29	0.01	0.12	-0.03	-0.22	0.04	0.59	0.51	0.4	-0.16	0.61	0.67	0.49	0.44	0.08	-0.13	0.92	0.15	-0.22	-0.15	-0.05	-0.03	0.33	0.08	-0.06	-0.01	-0.1	-0.19	1.79	0.08	0.18	0.07	-0.14	-0.17
YBR147W	|| biological process unknown || molecular function unknown || YBR147W || 1081408	0.89	0.98	-0.01	-0.16	-0.35	-0.31	0.26	0.66	1.06	0.99	0.78	0.28	0.52	0.01	-0.03	0.11	-0.19	-0.32	-1.19	-0.63	-1.15	-0.73	-0.92	-0.51	0.05	0.35	-0.33	-0.02	-0.63	-1	-1.36	-0.59	-1	-0.53	-0.1	-0.47
YPL090C	RPS6A      || protein biosynthesis || structural constituent of ribosome || YPL090C || 1084608	0.09	0.17	0.23	-0.04	0.03	0.04	-1.32	-1.12	0.03	0.27	0.21	-0.15	-0.24	-0.16	0.12	0.02	0.26	-0.06	0.17	0.32	0.27	0.11	0.34	0.07	-0.04	0.18	0.18	0.21	0.17	0.3	-0.16	0.12	0.25	0.21	0	-0.13
YHR183W	GND1       || response to oxidative stress* || phosphogluconate dehydrogenase (decarboxylating) activity || YHR183W || 1085787	0.2	0.08	0.54	0.59	0.35	0.31	-0.17	-0.14	-1.19	-0.81	-0.81	-0.07	-2.26	-1.98	-1.42	-1.45	-0.54	-0.35	0.77	0.53	-0.17	0.18	0.14	0.26	-0.07	-0.26	-0.17	-0.31	-0.06	0.01	0.55	0.83	0.28	0.03	0.36	0.44
YDL204W	RTN2       || biological process unknown || molecular function unknown || YDL204W || 1082119	1.29	0.42	0.51	1.16	0.21	-0.37	2.44	2.06	0.53	0.04	-0.32	-0.47	1.55	1.03	0.94	0.31	-0.04	-0.38	1.04	0.48	-0.1	-0.16	-0.26	-0.17	0.56	-0.14	-0.65	-0.79	-0.7	-0.58	2.14	1.8	0.64	-0.38	-0.27	-0.57
YDR507C	GIN4       || protein amino acid phosphorylation* || protein kinase activity || YDR507C || 1084260	-0.53	-0.48	-0.48	-0.42	0.06	-0.01	1.04	0.85	-0.06	0.3	0.13	0.1	-0.09	0.38	0.46	0.53	0.5	0.44	0.96	0.03	-0.09	-0.18	0.01	-0.12	-0.4	-0.45	-0.04	-0.19	-0.21	-0.13	-0.6	-0.43	-0.34	-0.33	-0.37	-0.56
YJL034W	"KAR2       || SRP-dependent cotranslational protein-membrane targeting, translocation* || ATPase activity* || YJL034W || 1080992"	-0.18	-0.43	-0.12	-0.09	-0.43	-0.23	-0.1	-0.86	-0.66	-0.47	-0.1	0.05	0.34	0.37	0.44	0.78	0.71	0.78	-0.39	-0.84	-0.44	-0.42	-0.19	-0.18	0.69	0.4	-0.06	-0.11	-0.06	-0.05	-0.01	0.31	0.3	-0.12	-0.14	-0.05
YBR156C	SLI15      || protein amino acid phosphorylation* || protein kinase activator activity || YBR156C || 1083452	-0.64	-0.85	-0.99	-0.68	-0.23	-0.33	0.19	0.18	-0.02	-0.04	0.15	-0.04	-0.27	-0.11	-0.1	-0.01	-0.15	-0.05	-0.33	-0.18	-0.27	-0.08	-0.18	0.01	-0.64	-0.44	-0.14	-0.2	-0.21	-0.28	-0.58	-0.39	-0.39	-0.39	-0.28	-0.27
YNL242W	ATG2       || protein-vacuolar targeting* || molecular function unknown || YNL242W || 1083149	1.16	0.9	0.86	0.81	0.6	0.27	2.04	1.89	0.95	0.42	0.26	0.28	-0.11	-0.03	-0.09	-0.14	0.17	0.19	0.07	0.91	0.15	0.12	0	0.04	1.09	0.54	0.52	0.23	-0.07	-0.25	2.11	0.41	-0.06	-0.16	-0.22	-0.23
YKL089W	MIF2       || chromosome segregation* || centromeric DNA binding || YKL089W || 1086392	0.12	-0.03	-0.31	-0.24	-0.11	-0.19	0.79	0.86	0.44	0.52	0.39	0.05	0.08	0.25	0.31	0.13	0.47	0.27	1.08	0.51	0.44	0.29	0.31	0.28	-0.08	-0.07	-0.03	0.07	-0.06	0.01	0.19	-0.14	-0.16	0.12	-0.13	-0.06
YLR185W	RPL37A     || protein biosynthesis || structural constituent of ribosome || YLR185W || 1083646	0.1	0.27	0	-0.05	0.16	0.22	-1.13	-0.23	0.83	0.61	0.6	0.24	-0.45	-0.11	0.24	0.18	0.23	0.54	0.63	0.21	0.32	0.35	0.35	0.38	0.16	0.05	0.08	0.21	0.09	0.35	0.95	0.23	0.29	0.39	0.2	0.17
YIL074C	SER33      || serine family amino acid biosynthesis || phosphoglycerate dehydrogenase activity || YIL074C || 1084859	-1.11	-0.99	-0.85	-0.65	-0.14	0.1	-1.24	-1.14	-0.85	-0.52	-0.43	0.26	-0.46	-0.35	-0.39	0.23	-0.04	0.48	1.66	1.39	1.54	1.33	1.36	1.06	-0.6	0.1	0.1	0.18	0.23	0.29	-1.36	-0.21	-0.29	-0.03	-0.1	0.19
YDR300C	PRO1       || proline biosynthesis || glutamate 5-kinase activity || YDR300C || 1083654	-0.81	-0.41	-0.26	-0.16	0.1	0.06	-1.38	-1.52	-1.06	-1.3	-0.29	-0.12	-0.26	-0.3	-0.77	-0.51	-0.78	-0.46	-1.62	-1.18	-0.35	-0.62	-0.48	-0.48	-0.35	-0.17	0	-0.11	0.11	-0.11	-1.47	-0.77	-0.09	-0.1	-0.17	-0.01
YDL213C	NOP6       || rRNA processing* || molecular function unknown || YDL213C || 1086914	-0.55	-0.36	-0.52	-0.59	-0.34	0.03	-1.03	-0.98	-1.03	-0.35	-0.07	-0.26	0.17	0.09	0.43	-0.07	0.3	0.08	-0.67	-0.66	-0.44	-0.48	-0.26	-0.44	-0.34	-0.47	-0.52	-0.58	-0.18	-0.02	-1.02	-0.91	-0.15	-0.11	-0.31	-0.14
YDR377W	"ATP17      || ATP synthesis coupled proton transport || hydrogen-transporting ATP synthase activity, rotational mechanism || YDR377W || 1086325"	0.97	1.3	0.82	0.53	0.29	-0.15	0.08	-0.1	0.99	0.56	0.08	-0.46	0.67	0.62	0.52	0.52	-0.29	-0.7	-0.55	1.05	0.78	0.34	0.19	-0.08	0.31	0.24	-0.14	-0.48	-0.55	-0.69	0.16	0.62	-0.07	-0.42	-0.58	-0.94
YPL070W	MUK1       || regulation of transcription || molecular function unknown || YPL070W || 1081186	0.13	-0.01	0.21	0.33	-0.24	-0.26	0.39	-0.14	-0.5	-0.02	0.22	-0.15	0.23	0.17	0.24	-0.23	-0.08	-0.3	0.16	0.09	0.18	-0.07	-0.06	-0.36	0.12	0.23	-0.08	-0.12	-0.04	-0.19	-0.65	-0.16	0.18	-0.18	-0.28	-0.13
YEL052W	AFG1       || biological process unknown || ATPase activity || YEL052W || 1084170	-0.12	-0.28	0.01	0.33	0.17	0.11	-0.28	-0.2	-0.6	-0.44	-0.73	-0.4	-1.01	-1.03	-1.02	-1.19	-0.65	-0.54	-0.7	-0.86	-0.67	-0.56	-0.58	-0.53	-0.08	0.01	-0.02	-0.05	-0.23	-0.35	0.36	0.1	-0.03	0.04	-0.02	0.09
YMR163C	|| biological process unknown || molecular function unknown || YMR163C || 1086601	-0.12	-0.13	-0.37	-0.3	0.03	0.02	0.25	0.22	0.16	0.34	0.27	0.11	0.41	0.26	0.26	0.12	0.19	0.46	0.06	0.15	0.04	0.16	0.17	0.06	0.22	0.08	0.29	0.22	0.02	0.01	0.82	-0.09	0.13	0.1	0.04	0.08
YLR194C	|| biological process unknown || molecular function unknown || YLR194C || 1086758	2.21	1.81	2.42	1.99	0.24	-0.12	1.79	0.91	-0.21	-0.69	-0.28	-0.05	-1.52	-1.43	-1.31	-1.54	-1.2	-1.1	1.87	1.32	0.09	0.52	0.39	0.42	2.27	0.84	0.6	0.16	-0.27	-0.28	4.24	1.85	1.09	0.41	0.38	0.28
YBR136W	MEC1       || meiotic recombination* || protein kinase activity || YBR136W || 1084931	0.45	0.55	0.51	0.33	0.22	0.18	0.89	0.55	0.48	0.37	0.36	0.23	0.91	0.61	0.41	0.27	0.07	-0.02	1.03	0.56	0.43	0.49	0.34	0.41	0.94	0.6	0.13	0.14	0.11	0.08	0.19	-0.12	-0.01	0.06	0.01	0.23
YGL206C	CHC1       || endocytosis* || structural molecule activity || YGL206C || 1084283	0.07	-0.06	0.31	0.15	0.11	0	1.05	0.86	0.45	0.23	0.02	0.04	0.59	0.79	0.45	0.24	0.43	0.17	0.16	0.66	0.23	0.12	0.11	0.02	0.25	0	-0.03	-0.14	-0.04	0.07	0.21	0.1	0.1	-0.02	-0.12	0.03
YGL030W	RPL30      || protein biosynthesis* || structural constituent of ribosome || YGL030W || 1085469	0.3	0.34	0.24	0.09	0.27	0.4	-0.16	0.01	0.46	0.33	0.2	0.43	-0.75	-0.39	-0.14	-0.08	-0.09	0.01	0.06	0.08	0.3	0.2	0.22	0.18	0.2	0.03	0.03	0.04	0.07	0.13	0.16	0.18	0.27	0.09	0.09	0.03
YFL061W	|| biological process unknown || molecular function unknown || YFL061W || 1082195	3.13	2.42	1.19	-0.2	-0.12	0.51	0.26	-0.7	-1.29	-0.5	-0.05	0.28	0.53	-0.57	-0.236798	-0.27	-0.79	-0.36	0.54	-0.56	-0.3	-0.44	-0.11	-0.11	0.27	-0.32	0.16	0.18	0.4	0.52	0.38	0.28	0.46	0.36	-0.03	0.39
YPL266W	"DIM1       || rRNA modification* || rRNA (adenine-N6,N6-)-dimethyltransferase activity || YPL266W || 1083403"	-0.57	-0.71	-0.54	-0.55	-0.06	0.13	-1.04	-1.05	-0.44	-0.21	-0.1	-0.04	0.36	0.3	0.24	0.19	0.39	0.51	-0.96	-0.76	-0.1	-0.32	-0.1	-0.31	-0.39	-0.28	0.03	0.08	0.17	0.19	-0.84	-0.45	-0.1	0.11	-0.12	0
YNL251C	"NRD1       || transcription termination from Pol II promoter, RNA polymerase(A)-independent || RNA binding || YNL251C || 1082567"	0.37	-0.28	0.27	0.54	0.13	0.09	1.02	0.88	-0.17	-0.24	-0.45	0.34	-0.39	-0.49	-0.65	-0.35	-0.3	-0.47	-0.1	-0.01	-0.28	-0.14	-0.39	-0.03	-0.06	-0.47	-0.16	-0.16	0.06	0.05	0.45	0.15	0.07	-0.22	0.16	0.24
YHR172W	SPC97      || microtubule nucleation || structural constituent of cytoskeleton || YHR172W || 1084969	-0.65	-0.56	-0.38	-0.27	-0.08	-0.18	0.66	0.49	0.3	0.22	0.31	0.23	-0.17	0.16	0.21	0.47	0.56	0.37	-0.34	0.17	0.12	0.02	-0.05	-0.01	-0.75	-0.39	0.05	0.12	-0.02	-0.07	-1.19	-0.44	-0.39	-0.2	-0.14	-0.02
YEL061C	CIN8       || mitotic sister chromatid segregation* || microtubule motor activity || YEL061C || 1081204	-0.97	-0.75	-0.49	-0.64	-0.41	-0.41	-0.19	0.14	0.4	0.89	0.74	-0.03	0.98	0.9	0.87	1.07	0.78	0.54	1.02	0.59	0.39	0.3	0.54	0.16	-0.73	-0.49	-0.18	-0.07	-0.36	-0.39	-0.57	-0.66	-0.09	0.01	-0.1	-0.23
YLR174W	IDP2       || glutamate biosynthesis* || isocitrate dehydrogenase (NADP+) activity || YLR174W || 1083584	4.38	4.33	3.94	3.96	2.07	0.33	2.42	1.71	1.03	0.33	-0.5	-1.02	-1.71	-2.11	-2.52	-3.47	-4.14	-4.51	2.22	0.93	0.13	-0.15	-0.31	-0.46	1.81	0.58	-0.3	-0.5	-0.65	-0.73	2.96	0.7	-0.29	-0.06	-0.81	-0.63
YIL063C	YRB2       || mRNA-nucleus export* || structural molecule activity || YIL063C || 1081079	0.63	0.45	0.13	0.01	0.08	0.18	0.67	0.64	0.58	0.66	0.52	0.09	0.57	0.46	0.37	-0.16	0.07	-0.12	1.48	0.47	0.37	0.22	0.58	0.17	0.74	0.65	0.13	0.17	0.15	0.33	0.88	0.77	0.5	0.53	0.19	0
YKL001C	MET14      || methionine metabolism* || adenylylsulfate kinase activity || YKL001C || 1081438	-0.16	0.22	0.1	0.11	0.33	0.49	-0.72	-0.11	0.66	0.54	0.48	0.07	-1.43	-1.33	-0.59	-0.64	-0.36	0.06	3.58	3.07	2.63	2.34	2.47	1.97	0.12	0.08	0.38	0.33	0.31	0.55	0.72	0.15	0.32	0.67	0.19	0.2
YMR143W	RPS16A     || protein biosynthesis || structural constituent of ribosome || YMR143W || 1084996	-0.3	-0.16	-0.23	-0.25	0	0.03	-1.63	-0.95	0.07	0.01	-0.08	0.11	-0.57	-0.55	0.02	0.15	0.3	0.6	-0.76	-0.36	-0.09	-0.02	-0.05	-0.02	-0.32	-0.21	-0.22	-0.09	-0.21	0.02	-0.72	-0.23	-0.16	-0.09	-0.04	-0.1
YKL078W	DHR2       || ribosome biogenesis || RNA helicase activity || YKL078W || 1083415	-0.55	-0.38	-0.55	-0.68	-0.07	0.23	-0.62	-0.52	-0.29	-0.45	-0.18	0.09	0.36	0.39	0.45	0.32	0.56	0.88	-0.04	-0.31	-0.07	-0.04	0.06	0.01	-0.48	-0.52	-0.47	-0.33	-0.03	0.24	-0.05	-0.52	-0.12	0.08	0.14	0.19
YOL090W	MSH2       || DNA recombination* || ATPase activity* || YOL090W || 1085246	-0.2	-0.29	-0.31	-0.39	-0.12	-0.11	0.33	0.21	0.4	0.53	0.52	0.11	0.2	0.43	0.54	0.49	0.54	0.58	0.4	0.27	0.38	0.2	0.32	0.13	0	-0.03	0.08	0.05	0	0.08	-0.09	-0.16	0.23	0.16	0.1	-0.09
YLR380W	CSR1       || cell wall organization and biogenesis* || phosphatidylinositol transporter activity || YLR380W || 1083058	0.56	0	0.43	0.48	0.24	0.27	0.94	0.9	-0.49	-0.54	-0.36	0.35	-0.9	-0.67	-0.99	-1.01	-0.6	-0.37	0.32	-0.13	-0.74	-0.33	-0.49	-0.16	0.03	-0.33	0.24	-0.04	0.13	0.25	0.97	0.53	0.54	0.09	0.35	0.44
YEL041W	|| biological process unknown || molecular function unknown || YEL041W || 1083433	1.21	1.2	1.34	0.69	0.36	-0.11	1.52	1.22	1.05	0.85	0.37	0.16	-1.11	-1	-0.92	-0.85	-0.69	-1.1	1.66	1.06	0.44	0.23	0.32	-0.05	0.23	-0.14	-0.29	-0.52	-0.62	-0.57	1.76	0.71	-0.07	-0.35	-0.42	-0.25
YDR375C	BCS1       || aerobic respiration* || ATPase activity || YDR375C || 1081439	-1.05	-1.04	-0.91	-0.35	0.06	0.18	-1.7	-1.56	-1.33	-1.34	-0.95	-0.56	-1.53	-1.34	-1.05	-1.2	-0.95	-0.89	-2.12	-2.05	-1.45	-1.43	-1.22	-1.15	-1.34	-1.01	-0.69	-0.76	-0.34	-0.24	-1.82	-1.39	-0.85	-0.71	-0.91	-0.55
YKL087C	CYT2       || cytochrome c-heme linkage || holocytochrome-c synthase activity || YKL087C || 1084399	-1.09	-0.83	-0.85	-0.26	0.09	-0.1	-1.85	-1.61	-1.52	-1.46	-1.19	-0.89	-0.84	-0.9	-0.74	-0.73	-0.53	-0.63	-1.53	-1.39	-0.88	-1.04	-0.83	-0.81	-0.97	-0.96	-0.8	-0.75	-0.47	-0.43	-1.47	-1.24	-0.72	-0.51	-0.92	-0.57
YLR183C	TOS4       || G1/S-specific transcription in mitotic cell cycle || transcription factor activity || YLR183C || 1083905	-2	-1.46	-1.42	-1.06	-0.48	-0.46	-0.77	-0.7	-0.68	-0.62	-0.45	-0.51	-0.46	0.15	0.44	0.14	0.61	0.71	-1.38	-0.81	-0.42	-0.47	-0.33	-0.45	-1.49	-1.16	-0.37	-0.22	-0.31	-0.18	-1.59	-0.95	-0.36	-0.35	-0.29	-0.34
YPL255W	BBP1       || microtubule nucleation* || structural constituent of cytoskeleton || YPL255W || 1085728	-1.39	-1.06	-1.13	-0.83	-0.51	-0.31	-0.65	-0.68	-0.26	-0.29	-0.1	-0.27	-0.14	-0.21	-0.08	-0.27	-0.03	-0.29	-0.92	-0.73	-0.47	-0.51	-0.55	-0.58	-1.4	-1.11	-0.56	-0.41	-0.35	-0.21	-1.1	-0.94	-0.57	-0.5	-0.53	-0.35
YNL240C	NAR1       || iron-sulfur cluster assembly || iron hydrogenase activity || YNL240C || 1082131	0.47	0.61	0.54	0.49	0.33	0.32	0.68	0.43	-1.08	-0.77	-0.82	0.19	-1.61	-1.55	-1.35	-1.36	-0.78	-0.85	0.28	0.24	-0.29	-0.27	-0.46	-0.26	0.28	-0.14	0.03	-0.15	-0.05	-0.27	0.1	-0.37	-0.17	-0.55	-0.32	-0.15
YOR373W	NUD1       || microtubule nucleation || structural constituent of cytoskeleton || YOR373W || 1086659	-0.51	-0.79	-0.28	-0.19	0.04	0.28	0.27	0.11	-0.65	-0.22	-0.2	0.15	-0.35	-0.39	-0.11	-0.29	0.05	0.31	0.23	-0.36	-0.17	-0.3	-0.4	-0.29	-0.31	-0.77	0.03	0.1	0.27	0.12	-0.45	-0.42	-0.06	-0.12	-0.1	0.17
YEL050C	RML2       || protein biosynthesis* || structural constituent of ribosome || YEL050C || 1085063	-0.75	-0.82	-0.32	0.23	0.22	0.4	-0.81	-1.01	-1.58	-1.12	-0.99	-0.73	-1.69	-1.47	-1.46	-1.78	-1.16	-1.61	-0.48	-1.41	-1.08	-1.14	-0.69	-0.98	-0.87	-0.68	-0.33	-0.31	-0.13	-0.16	-1.13	-1.33	-0.43	-0.32	-0.66	-0.38
YDL081C	RPP1A      || translational elongation* || structural constituent of ribosome || YDL081C || 1083175	-1.71	-1.18	-1.1	-0.88	0.01	0.11	-3.29	-2.52	-1.81	-0.79	-0.4	0.23	-1.46	-1.38	-0.71	0.04	0.06	0.59	-2.12	-1.41	-0.58	-0.12	-0.24	0.26	-1	-0.81	-0.45	0.14	0.31	0.29	-2.16	-0.87	-0.09	0.11	0.16	0.37
YJL098W	SAP185     || G1/S transition of mitotic cell cycle || protein serine/threonine phosphatase activity || YJL098W || 1083866	-0.17	-0.08	-0.05	-0.2	-0.14	-0.2	0.52	0.48	0.49	0.42	0.32	0.14	0.26	0.29	0.31	0.46	0.26	0.15	0.97	0.37	0.19	0.11	0.23	0.03	0.02	-0.08	-0.27	-0.24	-0.1	-0.12	-0.1	-0.33	-0.08	-0.19	-0.14	-0.03
YNL220W	ADE12      || purine nucleotide biosynthesis* || adenylosuccinate synthase activity || YNL220W || 1084116	-0.43	-0.42	-0.8	-0.64	-0.2	0.09	-1.22	-1.06	-0.49	-0.36	-0.26	-0.16	-0.48	-0.18	-0.16	-0.07	0.08	0.34	-0.42	-0.68	-0.41	-0.44	-0.13	-0.31	-0.53	0.14	0.2	0.28	0.3	0.33	-1.95	-0.47	-0.4	0.08	-0.29	-0.1
YPL264C	|| biological process unknown || molecular function unknown || YPL264C || 1086558	0.28	0.12	-0.55	-0.52	-0.46	-0.37	-1.13	-0.61	-0.79	-0.43	-0.28	-0.1	-1.63	-1.33	-1.25	-0.98	-0.53	-0.12	-2.15	-0.63	-0.75	-0.35	-0.39	0.13	-0.55	-0.12	-0.33	-0.05	-0.69	-1.01	-2.2	-0.77	-0.49	-0.25	0.14	0.02
YKL067W	YNK1       || purine nucleotide biosynthesis* || nucleoside diphosphate kinase activity || YKL067W || 1080773	-0.24	-0.05	-0.04	0.34	0.14	-0.41	-0.83	-0.86	-0.93	-0.76	-1.11	-1.27	0.56	0.43	0.19	-0.29	-0.67	-0.92	-0.04	-0.37	-0.69	-0.86	-0.59	-0.83	0	-0.25	-0.37	-0.58	-0.69	-0.61	0.96	-0.28	-0.53	-0.44	-1.13	-1.13
YIL052C	RPL34B     || protein biosynthesis* || structural constituent of ribosome || YIL052C || 1084447	-0.69	-0.34	-0.24	-0.36	-0.02	0.05	-2.07	-1.81	-0.33	-0.26	0.36	0.11	-0.29	-0.29	-0.03	0.24	0.16	0.59	-1.31	-0.73	0.12	0.01	0.13	0.1	-0.02	-0.01	-0.06	-0.06	0.06	-0.04	-0.33	0.1	0.31	0.15	0.1	0
YGR009C	SEC9       || vesicle fusion* || t-SNARE activity || YGR009C || 1081317	0.35	0.04	0.22	0.06	0	-0.03	0.67	0.38	-0.02	0.07	0.06	-0.13	0.39	0.36	0.23	-0.16	-0.12	-0.2	1.72	0.38	0.32	0.14	0.28	0.09	0.36	0.24	0.11	0.02	0.15	0.23	0.79	-0.19	0.22	0.39	0.17	-0.02
YBR114W	"RAD16      || nucleotide-excision repair, DNA damage recognition || DNA-dependent ATPase activity || YBR114W || 1081176"	0.36	0.24	0.62	0.53	0.36	0.36	0.81	0.75	0.61	0.56	0.72	0.64	0.97	0.7	0.49	0.52	0.12	0.31	0.11	0.37	0.54	0.54	0.49	0.39	0.89	0.53	0.17	0.07	0.17	0.14	1.28	0.92	0.59	0.17	0.45	0.25
YKL076C	PSY1       ||  ||  || YKL076C || 1085487	0.46	0.41	0.13	0.11	0.02	0.01	0.56	0.43	0.58	0.46	0.02	-0.07	0.65	0.5	0.2	0.2	0.09	0.17	0.98	0.53	0.48	0.45	0.3	0.33	0.57	0.35	0.02	0.13	0.06	0.1	1.33	0.27	0.18	0.2	0.13	0.07
YMR141C	||  ||  || YMR141C || 1085737	0.593685	0.22	0.1	0.255075	0.25	0.106028	0.86	0.51	0.441778	0.23697	0.25	0.42	1	0.43	0.16	-0.38	-0.19	0.174287	1.48	0.19	0.36	0.23	0.18	0.29	0.59	0.472884	0.49	0.37	0.66	0.65	2.45	0.78	0.43	0.44	0.36	0.38
YLR172C	DPH5       || peptidyl-diphthamide biosynthesis from peptidyl-histidine || diphthine synthase activity || YLR172C || 1082578	-0.39	0.06	0.32	0.25	0.32	0.33	-0.89	-0.65	-0.26	-0.12	0.06	0.32	-0.57	-0.28	-0.22	-0.07	0.12	-0.24	-0.55	-0.26	0.1	0.1	0.23	0.15	0.14	0.42	0.32	0.3	0.43	0.34	-0.72	0.59	0.55	0.31	0.25	0.42
YDR364C	"CDC40      || nuclear mRNA splicing, via spliceosome* || RNA splicing factor activity, transesterification mechanism* || YDR364C || 1085655"	-0.19	-0.08	-0.16	-0.1	-0.12	-0.1	0.04	0.03	0.28	0.1	0.14	0.04	-0.44	-0.43	-0.32	-0.25	0.01	-0.3	-0.07	-0.04	0.14	-0.08	0.1	0.02	-0.3	-0.08	-0.38	-0.19	-0.01	0.01	-1.07	-0.01	0.05	-0.1	-0.04	0.12
YEL030W	ECM10      || protein-mitochondrial targeting* || molecular function unknown || YEL030W || 1085232	-0.39	0.28	-0.12	0.03	0.02	0.24	-0.17	-0.33	0.26	0.15	-0.12	-0.17	0.62	0.38	0.17	0.28	-0.1	-0.09	0.23	-0.09	0.77	0.32	0.42	-0.09	0.6	0.24	-0.06	-0.07	-0.2	-0.01	0.97	-0.37	-0.44	-0.12	-0.5	-0.28
YBR123C	TFC1       || transcription initiation from RNA polymerase III promoter || RNA polymerase III transcription factor activity || YBR123C || 1081224	-0.3	-0.39	-0.1	-0.14	-0.11	0.01	0.35	0.22	0.08	0.26	0.41	0.04	0.21	0.03	-0.11	0.05	-0.13	-0.01	0.34	-0.06	-0.08	-0.05	0.06	-0.09	-0.22	-0.17	-0.02	0.05	0.1	0.14	-0.08	-0.47	-0.13	-0.25	-0.17	0.03
YJL001W	PRE3       || response to stress* || endopeptidase activity || YJL001W || 1083495	0.62	0.53	0.11	0.03	-0.07	-0.03	0.16	-0.01	0.52	0.37	0.02	0.16	0.39	0.21	0.2	0.22	0.16	0.17	0.77	0.76	0.5	0.23	0.29	0.04	0.13	0.07	0.08	-0.05	-0.07	0.06	0.54	0.26	-0.04	-0.07	-0.11	-0.11
YHR150W	PEX28      || peroxisome organization and biogenesis || molecular function unknown || YHR150W || 1083691	0.97	0.82	0.61	-0.07	-0.49	-0.4	2.07	0.54	-0.04	-0.12	-0.42	-0.19	0.81	0.65	0.7	0	0.23	0.14	0.42	-0.14	-0.33	-0.39	-0.27	-0.49	0.46	0.53	0.01	0.07	-0.37	-0.2	0.21	0.04	-0.32	-0.24	-0.32	-0.27
YGR181W	TIM13      || mitochondrial inner membrane protein import || protein transporter activity || YGR181W || 1085309	-0.73	-0.64	-0.66	-0.33	0.07	-0.1	-1.36	-0.9	-0.43	-0.57	-0.3	-0.21	-0.57	-0.55	-0.36	-0.17	-0.21	0.06	-1.65	-1.19	-0.59	-0.55	-0.71	-0.37	-0.89	-0.83	-0.57	-0.47	-0.41	-0.39	-0.55	-0.51	-0.44	-0.45	-0.23	-0.28
YOR371C	GPB1       || signal transduction || signal transducer activity || YOR371C || 1081054	0.43	0.37	0.7	0.51	0.17	0.21	1.15	0.64	-0.13	-0.34	-0.06	0.21	-0.01	-0.11	-0.18	-0.31	-0.41	-0.23	0.46	0.03	-0.3	-0.18	-0.24	-0.2	0.46	0.11	0.1	0	0	0.12	0.27	-0.13	0.02	-0.2	-0.13	0.15
YPL253C	VIK1       || mitotic sister chromatid cohesion* || microtubule motor activity || YPL253C || 1081564	-0.55	-0.61	-0.6	-0.4	-0.33	-0.3	0.04	0.03	0.3	0.62	0.35	-0.06	0.22	0.25	0.34	0.16	0.23	0.19	0.4	0.16	-0.07	0.01	-0.03	0.02	-0.45	-0.26	-0.01	0.01	-0.22	-0.08	-0.03	-0.22	-0.36	-0.15	-0.07	-0.09
